pass	compression	q	error	size
16	2	0.500	0.103272017	304
16	5	0.001	0.000254030	724
16	5	0.010	-0.000114686	724
16	5	0.100	0.001739761	724
16	5	0.500	-0.003543961	724
16	10	0.001	0.000015909	1228
16	10	0.010	-0.000309933	1228
16	10	0.100	-0.000474503	1228
16	10	0.500	-0.029348902	1228
16	20	0.001	0.000005809	2452
16	20	0.010	0.000021269	2452
16	20	0.100	0.000160297	2452
16	20	0.500	0.000619727	2452
16	50	0.001	-0.000012093	5572
16	50	0.010	-0.000002371	5572
16	50	0.100	-0.000195713	5572
16	50	0.500	-0.000544187	5572
16	100	0.001	-0.000012668	10384
16	100	0.010	-0.000004820	10384
16	100	0.100	-0.000034720	10384
16	100	0.500	-0.002452305	10384
16	200	0.001	-0.000004637	19204
16	200	0.010	-0.000005663	19204
16	200	0.100	-0.000065000	19204
16	200	0.500	-0.000017785	19204
16	500	0.001	-0.000004637	42628
16	500	0.010	-0.000012243	42628
16	500	0.100	0.000032782	42628
16	500	0.500	-0.000424827	42628
16	1000	0.001	-0.000004637	92308
16	1000	0.010	-0.000015033	92308
16	1000	0.100	0.000022166	92308
16	1000	0.500	-0.000023054	92308
17	2	0.001	-0.000070934	352
17	2	0.010	0.003983570	352
17	2	0.100	-0.004371373	352
17	2	0.500	-0.023463981	352
17	5	0.001	0.000056689	772
17	5	0.010	0.000197452	772
17	5	0.100	0.022170846	772
17	5	0.500	-0.047524355	772
17	10	0.001	-0.000011523	1348
17	10	0.010	-0.000084016	1348
17	10	0.100	-0.000489921	1348
17	10	0.500	0.017215211	1348
17	20	0.001	0.000014430	2428
17	20	0.010	-0.000204364	2428
17	20	0.100	0.004969877	2428
17	20	0.500	0.000847821	2428
17	50	0.001	-0.000006212	5584
17	50	0.010	-0.000045546	5584
17	50	0.100	0.001328775	5584
17	50	0.500	0.002188165	5584
17	100	0.001	-0.000024914	10420
17	100	0.010	-0.000009801	10420
17	100	0.100	0.001373691	10420
17	100	0.500	-0.000069140	10420
17	200	0.001	-0.000003570	19108
17	200	0.010	0.000000263	19108
17	200	0.100	0.000162742	19108
17	200	0.500	0.000018860	19108
17	500	0.001	-0.000003570	42580
17	500	0.010	0.000004691	42580
17	500	0.100	0.000018023	42580
17	500	0.500	-0.000301989	42580
17	1000	0.001	-0.000003570	92428
17	1000	0.010	0.000000979	92428
17	1000	0.100	0.000034214	92428
17	1000	0.500	-0.000018528	92428
18	2	0.001	0.000593239	400
18	2	0.010	-0.000414355	400
18	2	0.100	0.045075480	400
18	2	0.500	-0.035056107	400
18	5	0.001	0.000285479	700
18	5	0.010	0.000773756	700
18	5	0.100	-0.002829562	700
18	5	0.500	0.000589449	700
18	10	0.001	0.000051678	1252
18	10	0.010	0.000037736	1252
18	10	0.100	-0.000373935	1252
18	10	0.500	-0.000853381	1252
18	20	0.001	0.000015624	2224
18	20	0.010	0.000055991	2224
18	20	0.100	-0.005246793	2224
18	20	0.500	-0.003964414	2224
18	50	0.001	0.000037563	5608
18	50	0.010	0.000384440	5608
18	50	0.100	0.000295309	5608
18	50	0.500	-0.001058818	5608
18	100	0.001	-0.000019310	10528
18	100	0.010	0.000134322	10528
18	100	0.100	-0.000271277	10528
18	100	0.500	-0.000808159	10528
18	200	0.001	0.000001856	19192
18	200	0.010	0.000018779	19192
18	200	0.100	0.000063602	19192
18	200	0.500	-0.000933271	19192
18	500	0.001	0.000001856	42940
18	500	0.010	0.000000814	42940
18	500	0.100	-0.000000266	42940
18	500	0.500	-0.000082605	42940
18	1000	0.001	0.000001856	92296
18	1000	0.010	-0.000002853	92296
18	1000	0.100	0.000013560	92296
18	1000	0.500	0.000000291	92296
19	2	0.001	-0.000141475	316
19	2	0.010	0.000125238	316
19	2	0.100	-0.001619905	316
19	2	0.500	-0.011509435	316
19	5	0.001	-0.000052880	724
19	5	0.010	-0.000534243	724
19	5	0.100	-0.001562127	724
19	5	0.500	-0.000251609	724
19	10	0.001	-0.000006017	1204
19	10	0.010	0.000677202	1204
19	10	0.100	0.004852106	1204
19	10	0.500	-0.005179122	1204
19	20	0.001	-0.000022100	2404
19	20	0.010	0.000184851	2404
19	20	0.100	0.002205629	2404
19	20	0.500	0.000028746	2404
19	50	0.001	-0.000008818	5440
19	50	0.010	-0.000047306	5440
19	50	0.100	-0.000394497	5440
19	50	0.500	0.000054493	5440
19	100	0.001	-0.000005665	10132
19	100	0.010	0.000120980	10132
19	100	0.100	-0.000201615	10132
19	100	0.500	0.000091343	10132
19	200	0.001	0.000000935	19240
19	200	0.010	-0.000008462	19240
19	200	0.100	0.000231850	19240
19	200	0.500	0.000052223	19240
19	500	0.001	0.000000935	42532
19	500	0.010	-0.000004530	42532
19	500	0.100	0.000067637	42532
19	500	0.500	0.000081496	42532
19	1000	0.001	0.000000935	92536
19	1000	0.010	0.000008481	92536
19	1000	0.100	0.000013830	92536
19	1000	0.500	0.000007846	92536
20	2	0.001	-0.000109585	376
20	2	0.010	0.004172211	376
20	2	0.100	0.039939752	376
20	2	0.500	0.074361744	376
20	5	0.001	0.000140737	700
20	5	0.010	-0.000132906	700
20	5	0.100	0.011749705	700
20	5	0.500	-0.037061801	700
20	10	0.001	0.000114021	1336
20	10	0.010	-0.000105691	1336
20	10	0.100	-0.006100366	1336
20	10	0.500	-0.000220343	1336
20	20	0.001	0.000066555	2404
20	20	0.010	-0.000022784	2404
20	20	0.100	-0.000197203	2404
20	20	0.500	0.003551463	2404
20	50	0.001	-0.000026561	5404
20	50	0.010	0.000000026	5404
20	50	0.100	-0.001414544	5404
20	50	0.500	0.000112949	5404
20	100	0.001	0.000006053	10444
20	100	0.010	-0.000097050	10444
20	100	0.100	-0.000171544	10444
20	100	0.500	-0.000176553	10444
20	200	0.001	0.000008572	18976
20	200	0.010	-0.000072360	18976
20	200	0.100	0.000039820	18976
20	200	0.500	0.000013181	18976
20	500	0.001	0.000008572	42856
20	500	0.010	-0.000039959	42856
20	500	0.100	-0.000015373	42856
20	500	0.500	0.000018836	42856
20	1000	0.001	0.000008572	92488
20	1000	0.010	0.000010176	92488
20	1000	0.100	0.000054140	92488
20	1000	0.500	0.000000479	92488
21	2	0.001	0.000598188	328
21	2	0.010	0.003708207	328
21	2	0.100	-0.013973367	328
21	2	0.500	-0.022205438	328
21	5	0.001	0.000405512	820
21	5	0.010	0.001075675	820
21	5	0.100	-0.002026050	820
21	5	0.500	-0.007025551	820
21	10	0.001	0.000023870	1252
21	10	0.010	0.000965710	1252
21	10	0.100	-0.000089887	1252
21	10	0.500	-0.001876380	1252
21	20	0.001	0.000006848	2248
21	20	0.010	-0.000020178	2248
21	20	0.100	0.000833174	2248
21	20	0.500	-0.010705088	2248
21	50	0.001	0.000002020	5404
21	50	0.010	0.000286896	5404
21	50	0.100	0.000404576	5404
21	50	0.500	0.000710788	5404
21	100	0.001	-0.000009921	10312
21	100	0.010	0.000146491	10312
21	100	0.100	0.000333906	10312
21	100	0.500	-0.000289699	10312
21	200	0.001	0.000005567	19300
21	200	0.010	0.000005279	19300
21	200	0.100	0.000315495	19300
21	200	0.500	0.000337602	19300
21	500	0.001	0.000005567	42760
21	500	0.010	-0.000021047	42760
21	500	0.100	0.000006826	42760
21	500	0.500	0.000017309	42760
21	1000	0.001	0.000005567	92452
21	1000	0.010	-0.000006647	92452
21	1000	0.100	-0.000013179	92452
21	1000	0.500	0.000009361	92452
22	2	0.001	-0.000016721	388
22	2	0.010	0.006422841	388
22	2	0.100	0.052089702	388
22	2	0.500	0.064486522	388
22	5	0.001	-0.000013756	724
22	5	0.010	-0.000192081	724
22	5	0.100	-0.002873745	724
22	5	0.500	-0.016412137	724
22	10	0.001	-0.000031838	1252
