type	parts	q	e0	e1	e2	e2.rel
quantile	5	0.010000	-0.000003	-0.000123	-0.000041	0.004088
quantile	5	0.100000	-0.001099	-0.001634	-0.000555	0.005545
quantile	5	0.200000	-0.000707	-0.000256	0.000306	0.001529
quantile	5	0.300000	-0.001962	-0.000077	0.001581	0.005270
quantile	5	0.500000	-0.003642	0.000339	0.001258	0.002517
cdf	5	0.001000	-0.000070	0.000000	-0.000005	0.005207
cdf	5	0.010000	0.000020	-0.000004	0.000004	0.000369
cdf	5	0.100000	0.001110	-0.000564	-0.000836	0.008363
cdf	5	0.200000	0.000710	0.000055	-0.000038	0.000191
cdf	5	0.300000	0.002130	-0.000082	-0.001034	0.003445
cdf	5	0.500000	0.003360	-0.001138	-0.001511	0.003022
quantile	10	0.001000	0.000015	-0.000001	-0.000004	0.004148
quantile	10	0.010000	-0.000592	0.000017	-0.000026	0.002564
quantile	10	0.100000	-0.001447	-0.000060	-0.000775	0.007750
quantile	10	0.200000	-0.002258	0.000806	-0.001185	0.005925
quantile	10	0.300000	-0.000096	0.000060	-0.000373	0.001245
quantile	10	0.500000	0.000509	-0.002439	-0.003268	0.006535
cdf	10	0.001000	-0.000030	-0.000004	-0.000003	0.002939
cdf	10	0.010000	0.000730	-0.000013	0.000050	0.004962
cdf	10	0.100000	0.001420	0.000085	0.000171	0.001711
cdf	10	0.200000	0.002130	-0.000154	-0.000836	0.004178
cdf	10	0.300000	0.000100	0.000026	-0.000539	0.001796
cdf	10	0.500000	-0.000730	-0.000387	-0.001190	0.002379
quantile	20	0.001000	0.000075	-0.000027	-0.000019	0.019162
quantile	20	0.010000	0.000264	-0.000016	0.000012	0.001205
quantile	20	0.100000	-0.001082	-0.000536	-0.000374	0.003742
quantile	20	0.200000	-0.001103	-0.002509	0.001159	0.005795
quantile	20	0.300000	-0.001210	-0.005443	0.000087	0.000289
quantile	20	0.500000	-0.000830	0.000739	0.000137	0.000274
cdf	20	0.001000	-0.000060	-0.000003	0.000001	0.001498
cdf	20	0.010000	-0.000270	-0.000021	0.000038	0.003758
cdf	20	0.100000	0.001180	0.000069	-0.000239	0.002391
cdf	20	0.200000	0.001160	0.000110	-0.000461	0.002307
cdf	20	0.300000	0.001240	0.000514	-0.000784	0.002613
cdf	20	0.500000	0.000740	0.000082	0.000641	0.001282
quantile	50	0.001000	0.000024	-0.000007	-0.000002	0.001540
quantile	50	0.010000	-0.000113	-0.000135	-0.000027	0.002694
quantile	50	0.100000	-0.000597	-0.000742	0.000672	0.006720
quantile	50	0.200000	0.000315	0.000004	0.000064	0.000319
quantile	50	0.300000	-0.000161	-0.000015	0.000347	0.001158
quantile	50	0.500000	-0.002877	0.000011	-0.000329	0.000659
cdf	50	0.001000	-0.000020	-0.000000	-0.000003	0.002618
cdf	50	0.010000	0.000180	-0.000119	-0.000049	0.004889
cdf	50	0.100000	0.000660	0.000096	-0.000115	0.001148
cdf	50	0.200000	-0.000300	-0.000482	0.000072	0.000362
cdf	50	0.300000	0.000190	0.000057	-0.000408	0.001360
cdf	50	0.500000	0.003090	0.000351	-0.000621	0.001242
quantile	100	0.001000	0.000086	0.000011	0.000009	0.008732
quantile	100	0.010000	-0.000244	-0.000036	0.000006	0.000550
quantile	100	0.100000	-0.000306	-0.001536	0.001189	0.011889
quantile	100	0.200000	-0.000822	0.000092	0.000066	0.000332
quantile	100	0.300000	-0.001726	0.001198	0.003931	0.013104
quantile	100	0.500000	-0.001827	-0.000010	-0.000393	0.000785
cdf	100	0.001000	-0.000070	0.000005	0.000008	0.007540
cdf	100	0.010000	0.000210	-0.000022	0.000034	0.003418
cdf	100	0.100000	0.000270	0.000044	-0.000005	0.000049
cdf	100	0.200000	0.000750	0.000002	0.000057	0.000287
cdf	100	0.300000	0.001810	-0.000271	-0.000276	0.000921
cdf	100	0.500000	0.001770	-0.000102	-0.000485	0.000970
quantile	2	0.001000	0.000008	0.000001	-0.000004	0.003829
quantile	2	0.010000	-0.000271	-0.000032	0.000033	0.003299
quantile	2	0.100000	0.000761	0.000779	-0.000799	0.007987
quantile	2	0.200000	0.000492	0.000957	0.001325	0.006625
quantile	2	0.300000	0.000429	0.000073	0.003588	0.011959
quantile	2	0.500000	0.001286	0.000122	-0.000224	0.000449
cdf	2	0.001000	-0.000020	-0.000000	0.000000	0.000223
cdf	2	0.010000	0.000380	-0.000011	-0.000067	0.006740
cdf	2	0.100000	-0.000640	0.000020	-0.000172	0.001720
cdf	2	0.200000	-0.000520	0.000033	-0.000741	0.003705
cdf	2	0.300000	-0.000430	0.000151	0.000925	0.003085
cdf	2	0.500000	-0.001090	0.000209	-0.000245	0.000491
quantile	5	0.001000	0.000049	-0.000006	0.000008	0.007959
quantile	5	0.010000	-0.000314	-0.000015	-0.000048	0.004787
quantile	5	0.100000	-0.001336	-0.000087	0.000517	0.005171
quantile	5	0.200000	0.000078	0.004069	-0.000069	0.000347
quantile	5	0.300000	-0.000266	-0.000086	-0.002782	0.009272
quantile	5	0.500000	-0.002215	-0.001348	-0.000819	0.001637
cdf	5	0.001000	-0.000050	0.000020	0.000014	0.014143
cdf	5	0.010000	0.000330	-0.000017	-0.000142	0.014247
cdf	5	0.100000	0.001250	-0.000746	0.000080	0.000796
cdf	5	0.200000	-0.000070	-0.000558	0.000271	0.001354
cdf	5	0.300000	0.000260	0.000062	0.000501	0.001670
cdf	5	0.500000	0.002380	0.000293	-0.000690	0.001380
quantile	10	0.001000	0.000081	-0.000052	-0.000046	0.046120
quantile	10	0.010000	-0.000071	-0.000036	0.000027	0.002680
quantile	10	0.100000	-0.000130	-0.000749	-0.000140	0.001398
quantile	10	0.200000	0.000986	-0.001119	0.000109	0.000544
quantile	10	0.300000	0.000860	-0.000228	0.002314	0.007713
quantile	10	0.500000	-0.000426	0.003436	-0.001071	0.002143
cdf	10	0.001000	-0.000030	-0.000009	0.000002	0.001678
cdf	10	0.010000	0.000090	-0.000111	-0.000059	0.005863
cdf	10	0.100000	0.000100	-0.000245	-0.000892	0.008918
cdf	10	0.200000	-0.000960	0.000031	0.000036	0.000179
cdf	10	0.300000	-0.000620	0.000070	-0.001746	0.005822
cdf	10	0.500000	0.000480	-0.000072	-0.000282	0.000563
quantile	20	0.001000	-0.000049	-0.000026	-0.000002	0.002409
quantile	20	0.010000	0.000500	-0.000142	0.000017	0.001720
quantile	20	0.100000	0.001634	0.002518	0.001250	0.012500
quantile	20	0.200000	0.000974	-0.000141	0.000472	0.002362
quantile	20	0.300000	0.000442	0.003008	-0.000047	0.000157
quantile	20	0.500000	0.001665	-0.000303	-0.000026	0.000052
cdf	20	0.001000	0.000030	0.000006	0.000006	0.006130
cdf	20	0.010000	-0.000410	-0.000001	0.000010	0.001041
cdf	20	0.100000	-0.001540	-0.000057	-0.000120	0.001200
cdf	20	0.200000	-0.001100	-0.000084	0.000538	0.002688
cdf	20	0.300000	-0.000430	0.000339	-0.000152	0.000507
cdf	20	0.500000	-0.001650	-0.000103	0.000637	0.001273
quantile	50	0.001000	-0.000111	-0.000003	-0.000004	0.004372
quantile	50	0.010000	-0.000352	-0.000027	-0.000010	0.001049
quantile	50	0.100000	-0.001448	-0.000208	0.000373	0.003731
quantile	50	0.200000	-0.001521	0.000145	-0.000450	0.002248
quantile	50	0.300000	-0.000118	-0.000029	-0.000148	0.000492
quantile	50	0.500000	0.000621	-0.000290	0.000071	0.000141
cdf	50	0.001000	0.000180	-0.000010	-0.000006	0.005814
cdf	50	0.010000	0.000350	-0.000006	0.000030	0.002998
cdf	50	0.100000	0.001260	-0.000063	-0.000285	0.002851
cdf	50	0.200000	0.001580	0.000069	-0.000198	0.000991
cdf	50	0.300000	0.000130	0.000204	-0.000564	0.001879
cdf	50	0.500000	-0.000670	0.001365	0.000550	0.001100
quantile	100	0.001000	0.000002	-0.000011	-0.000010	0.010491
quantile	100	0.010000	0.000426	-0.000020	0.000022	0.002162
quantile	100	0.100000	0.000746	-0.001464	-0.000689	0.006888
quantile	100	0.200000	-0.001771	-0.002864	0.000923	0.004614
quantile	100	0.300000	-0.000957	-0.001861	0.001209	0.004031
quantile	100	0.500000	0.001412	-0.000098	0.000026	0.000053
cdf	100	0.001000	0.000000	0.000002	0.000003	0.002550
