i	delta
1202	0.186585
1203	0.164178
1204	0.155940
1205	0.080410
1206	-0.235795
1207	0.132011
1208	0.196653
1209	0.031635
1210	-0.145421
1211	0.142997
1212	-0.205887
1213	-0.175049
1214	-0.066469
1215	-0.088984
1216	0.168109
1217	-0.239786
1218	0.065694
1219	0.262162
1220	0.738673
1221	0.141397
1222	0.120402
1223	-0.060662
1224	0.052259
1225	0.195452
1226	0.043522
1227	-0.208629
1228	-0.089015
1229	-0.207583
1230	-0.140877
1231	0.117552
1232	0.129127
1233	-0.139345
1234	0.116656
1235	0.221939
1236	0.043842
1237	0.003022
1238	-0.020900
1239	0.148861
1240	-0.228188
1241	-0.222199
1242	-0.237828
1243	-0.002215
1244	-0.065731
1245	0.073674
1246	0.187443
1247	0.187311
1248	-0.042424
1249	-0.233178
1250	-0.000912
1251	0.079353
1252	0.031118
1253	-0.100633
1254	0.153455
1255	-0.010759
1256	-0.158938
1257	-0.078939
1258	0.014835
1259	-0.140891
1260	-0.137181
1261	-0.086494
1262	-0.017506
1263	0.254731
1264	-0.034810
1265	-0.084458
1266	-0.166647
1267	0.134638
1268	-0.056925
1269	0.082968
1270	-0.140136
1271	-0.163079
1272	-0.036743
1273	0.267806
1274	0.256143
1275	0.148094
1276	-0.016633
1277	-0.139537
1278	-0.053108
1279	-0.170169
1280	-0.156763
1281	0.188547
1282	0.309681
1283	0.094445
1284	-0.005274
1285	0.147389
1286	-0.167033
1287	0.079388
1288	0.162417
1289	0.122537
1290	-0.124721
1291	-0.087808
1292	-0.153739
1293	0.281198
1294	-0.003257
1295	0.262654
1296	0.017647
1297	-0.131334
1298	0.140111
1299	-0.016047
1300	-0.222958
1301	-0.041388
1302	0.056171
1303	0.153475
1304	-0.150969
1305	0.091170
1306	-0.146326
1307	0.199724
1308	0.103014
1309	0.152338
1310	-0.141841
1311	0.258072
1312	-0.221578
1313	0.073196
1314	0.200030
1315	0.053028
1316	-0.060101
1317	-0.165280
1318	-0.046150
1319	0.182145
1320	0.182177
1321	-0.010310
1322	0.164251
1323	-0.051462
1324	0.209073
1325	0.088031
1326	-0.149467
1327	-0.209476
1328	-0.061228
1329	0.096717
1330	-0.207222
1331	-0.135487
1332	0.120094
1333	-0.012104
1334	-0.201747
1335	-0.207319
1336	0.189543
1337	-0.220919
1338	-0.096999
1339	-0.113523
1340	-0.178325
1341	0.061580
1342	0.005062
1343	-0.141324
1344	0.105594
1345	-0.029582
1346	-0.193128
1347	-0.233636
1348	0.148115
1349	-0.150971
1350	0.091210
1351	0.075327
1352	0.070349
1353	-0.005692
1354	0.047639
1355	-0.087335
1356	0.178999
1357	0.279951
1358	0.262725
1359	0.183757
1360	-0.046718
1361	0.090042
1362	0.229709
1363	0.088940
1364	0.153338
1365	-0.136502
1366	0.004584
1367	-0.054274
1368	-0.110269
1369	0.028122
1370	-0.155774
1371	-0.125552
1372	-0.140108
1373	0.142195
1374	0.118218
1375	0.137576
1376	0.121555
1377	-0.194643
1378	-0.138226
1379	-0.000398
1380	-0.123085
1381	-0.184083
1382	0.202184
1383	0.097517
1384	-0.048180
1385	-0.128194
1386	0.042212
1387	-0.149463
1388	0.003125
1389	-0.173717
1390	-0.048922
1391	-0.059263
1392	0.143474
1393	0.107911
1394	-0.005515
1395	0.027289
1396	0.184866
1397	-0.129410
1398	-0.198755
1399	-0.013346
1400	0.046351
1401	0.080602
1402	-0.193203
1403	-0.211568
1404	-0.025827
1405	0.184942
1406	-0.034282
1407	0.092081
1408	-0.194830
1409	0.006147
