k	samples	compression	size1	size2
26	10	100	3861	9240
26	10	200	6656	15948
26	10	500	13716	32892
26	10	1000	22671	54384
26	100	2	227	468
26	100	5	485	1032
26	100	10	761	1656
26	100	20	1447	3192
26	100	50	3076	6864
26	100	100	5684	12924
26	100	200	10356	24180
26	100	500	21540	51624
26	100	1000	38416	92172
26	1000	2	299	588
26	1000	5	673	1392
26	1000	10	1069	2232
26	1000	20	1861	3984
26	1000	50	4105	8940
26	1000	100	7664	16848
26	1000	200	13830	30696
26	1000	500	31394	70464
26	1000	1000	56300	128172
26	10000	2	365	708
26	10000	5	665	1320
26	10000	10	1155	2304
26	10000	20	2243	4608
26	10000	50	5281	10992
26	10000	100	9392	19776
26	10000	200	17669	37848
26	10000	500	40027	87492
26	10000	1000	74866	164892
27	10	2	164	336
27	10	5	379	828
27	10	10	596	1332
27	10	20	1046	2424
27	10	50	2215	5280
27	10	100	3866	9252
27	10	200	6831	16368
27	10	500	13721	32904
27	10	1000	22466	53892
27	100	2	274	564
27	100	5	465	996
27	100	10	769	1656
27	100	20	1372	3036
27	100	50	3319	7452
27	100	100	5577	12648
27	100	200	10272	23892
27	100	500	21391	51264
27	100	1000	38566	92532
27	1000	2	318	624
27	1000	5	594	1200
27	1000	10	996	2064
27	1000	20	1782	3804
27	1000	50	3917	8568
27	1000	100	7785	17124
27	1000	200	13746	30408
27	1000	500	31156	69960
27	1000	1000	56676	129096
27	10000	2	327	624
27	10000	5	645	1272
27	10000	10	1275	2568
27	10000	20	2282	4668
27	10000	50	5080	10512
27	10000	100	9738	20520
27	10000	200	17970	38652
27	10000	500	39833	87144
27	10000	1000	74371	163800
28	10	2	188	396
28	10	5	384	840
28	10	10	605	1356
28	10	20	1064	2460
28	10	50	2269	5412
28	10	100	3721	8904
28	10	200	6726	16116
28	10	500	13616	32652
28	10	1000	22416	53772
28	100	2	229	468
28	100	5	493	1068
28	100	10	767	1668
28	100	20	1543	3408
28	100	50	3122	7008
28	100	100	5587	12732
28	100	200	10076	23448
28	100	500	21444	51420
28	100	1000	38376	92076
28	1000	2	287	564
28	1000	5	645	1320
28	1000	10	941	1956
28	1000	20	1811	3876
28	1000	50	4032	8772
28	1000	100	7535	16560
28	1000	200	13950	30972
28	1000	500	30962	69648
28	1000	1000	56745	129240
28	10000	2	302	564
28	10000	5	768	1524
28	10000	10	1187	2364
28	10000	20	2179	4392
28	10000	50	5398	11208
28	10000	100	9598	20172
28	10000	200	17947	38628
28	10000	500	40222	87948
28	10000	1000	74674	164580
29	10	2	146	300
29	10	5	384	840
29	10	10	532	1188
29	10	20	998	2292
29	10	50	2201	5256
29	10	100	3741	8952
29	10	200	6986	16740
29	10	500	13781	33048
29	10	1000	22626	54276
29	100	2	206	420
29	100	5	443	960
29	100	10	737	1608
29	100	20	1403	3084
29	100	50	2986	6684
29	100	100	5657	12924
29	100	200	10145	23640
29	100	500	21880	52464
29	100	1000	38761	93000
29	1000	2	335	672
29	1000	5	503	1032
29	1000	10	1109	2328
29	1000	20	1816	3912
29	1000	50	4184	9096
29	1000	100	7535	16548
29	1000	200	13972	31008
29	1000	500	30831	69192
29	1000	1000	56624	128832
29	10000	2	333	624
29	10000	5	808	1584
29	10000	10	1224	2460
29	10000	20	2207	4500
29	10000	50	5334	11064
29	10000	100	9762	20544
29	10000	200	17725	38100
29	10000	500	39462	86388
29	10000	1000	74806	164628
30	10	2	191	396
30	10	5	342	756
30	10	10	636	1428
30	10	20	1056	2448
30	10	50	2162	5148
30	10	100	3821	9144
30	10	200	6766	16212
30	10	500	13691	32832
30	10	1000	22621	54264
30	100	2	280	576
30	100	5	520	1116
30	100	10	795	1716
30	100	20	1466	3228
30	100	50	3184	7140
30	100	100	5623	12804
30	100	200	10437	24300
30	100	500	21398	51300
30	100	1000	38231	91728
30	1000	2	293	564
30	1000	5	584	1188
30	1000	10	920	1908
30	1000	20	1919	4092
30	1000	50	4005	8760
30	1000	100	7566	16608
30	1000	200	13591	30192
30	1000	500	31427	70548
30	1000	1000	55852	127140
30	10000	2	332	636
30	10000	5	705	1392
30	10000	10	1338	2664
30	10000	20	2251	4572
30	10000	50	5299	11028
30	10000	100	9798	20664
30	10000	200	17621	37860
30	10000	500	40025	87444
30	10000	1000	74558	164232
31	10	2	173	360
31	10	5	364	792
31	10	10	604	1356
31	10	20	1072	2484
31	10	50	2183	5208
31	10	100	3731	8928
31	10	200	6756	16188
31	10	500	13666	32772
31	10	1000	22831	54768
31	100	2	234	480
31	100	5	561	1224
31	100	10	813	1764
31	100	20	1462	3216
31	100	50	3128	6972
31	100	100	5736	13068
31	100	200	10255	23808
31	100	500	21540	51636
31	100	1000	38616	92652
31	1000	2	286	552
31	1000	5	544	1104
31	1000	10	1028	2148
31	1000	20	1851	3984
31	1000	50	3964	8664
31	1000	100	7654	16812
31	1000	200	14065	31284
31	1000	500	31433	70560
31	1000	1000	55685	126744
31	10000	2	364	696
31	10000	5	762	1524
31	10000	10	1171	2376
