i	delta
1395	-0.090886
1396	-0.024903
1397	0.060807
1398	-0.172287
1399	0.020203
1400	0.097120
1401	0.068820
1402	0.047669
1403	0.072320
1404	-0.036540
1405	0.065197
1406	-0.225413
1407	-0.196243
1408	0.047685
1409	-0.215673
1410	0.168469
1411	0.045616
1412	-0.183569
1413	-0.210330
1414	-0.088642
1415	-0.012800
1416	0.144068
1417	-0.134983
1418	-0.212715
1419	0.045402
1420	0.147389
1421	-0.054515
1422	-0.119339
1423	0.178704
1424	0.114951
1425	0.044384
1426	-0.027613
1427	0.213216
1428	-0.012824
1429	0.144936
1430	-0.077567
1431	0.271219
1432	-0.136825
1433	0.168997
1434	-0.105867
1435	0.245760
1436	-0.029601
1437	0.092037
1438	0.134501
1439	0.236703
1440	-0.081710
1441	-0.072622
1442	-0.040428
1443	0.228665
1444	-0.210060
1445	-0.208356
1446	-0.045170
1447	0.075914
1448	-0.077037
1449	0.184512
1450	0.207740
1451	0.264992
1452	-0.174724
1453	0.187590
1454	0.212716
1455	0.177260
1456	0.169779
1457	0.028816
1458	0.053135
1459	-0.198494
1460	0.079572
1461	-0.006571
1462	-0.025018
1463	-0.227155
1464	0.113969
1465	-0.161047
1466	-0.060533
1467	-0.070860
1468	-0.050200
1469	-0.211513
1470	0.160650
1471	0.182492
1472	0.012168
1473	0.217452
1474	-0.063424
1475	0.079061
1476	-0.127376
1477	-0.099795
1478	0.204202
1479	-0.123328
1480	0.074054
1481	0.106102
1482	-0.176702
1483	-0.081610
1484	0.121910
1485	0.062932
1486	-0.229136
1487	-0.216120
1488	-0.162368
1489	-0.192238
1490	-0.212925
1491	0.096373
1492	-0.090572
1493	-0.197390
1494	0.186683
1495	-0.081673
1496	-0.114815
1497	0.124372
1498	-0.097397
1499	-0.150911
1500	0.048038
1501	-0.178465
1502	0.019788
1503	0.181001
1504	0.039094
1505	-0.012166
1506	-0.024775
1507	0.072534
1508	-0.138150
1509	0.088137
1510	0.035808
1511	-0.057978
1512	0.088357
1513	0.255817
1514	0.139886
1515	-0.101705
1516	0.125987
1517	-0.082766
1518	0.004603
1519	-0.085712
1520	-0.147786
1521	-0.081357
1522	-0.230482
1523	-0.184377
1524	-0.189522
1525	0.061508
1526	0.039049
1527	0.227885
1528	0.226952
1529	-0.075647
1530	0.145080
1531	-0.101056
1532	-0.080701
1533	0.196282
1534	-0.169516
1535	-0.045509
1536	0.196881
1537	0.284871
1538	0.139602
1539	0.131702
1540	0.066420
1541	0.018589
1542	-0.128589
1543	0.001092
1544	0.137020
1545	-0.069276
1546	-0.199783
1547	-0.140872
1548	-0.126295
1549	0.056002
1550	0.026926
1551	-0.172771
1552	-0.064521
1553	0.142624
1554	0.173697
1555	-0.172574
1556	-0.012329
1557	0.172208
1558	0.146222
1559	0.135725
1560	0.117297
1561	-0.127533
1562	-0.151504
1563	0.229731
1564	0.241039
1565	-0.131326
1566	-0.250265
1567	0.053175
1568	-0.135414
1569	0.069838
1570	-0.111876
1571	-0.101663
1572	0.123422
1573	-0.217409
1574	0.098812
1575	0.083108
1576	-0.004486
1577	-0.058798
1578	0.111814
1579	-0.111777
1580	0.204380
1581	-0.244080
1582	-0.086682
1583	0.208427
1584	0.045379
1585	-0.040972
1586	-0.222288
1587	0.060870
1588	0.079424
1589	-0.201389
1590	-0.155189
1591	-0.130552
1592	-0.140800
1593	0.191342
1594	0.030566
1595	-0.110765
1596	-0.173261
1597	-0.038404
1598	0.083606
1599	0.070948
1600	-0.099764
1601	-0.010460
1602	0.115530
1603	-0.205206
1604	0.097367
1605	0.025149
1606	0.144197
1607	0.016722
1608	-0.142450
1609	0.218425
1610	-0.005152
1611	0.175684
1612	0.114558
1613	-0.179684
1614	0.127793
1615	0.032056
1616	-0.064363
1617	0.241518
1618	-0.072545
1619	-0.045525
1620	0.050660
1621	-0.168209
1622	0.136656
1623	-0.153126
1624	-0.200672
1625	-0.047598
1626	-0.183962
1627	-0.087646
1628	0.008068
1629	0.181103
1630	-0.122083
1631	-0.197011
1632	-0.269895
1633	-0.030173
1634	0.037960
1635	0.108092
1636	-0.215218
1637	0.194587
1638	0.149271
1639	-0.063664
1640	-0.147940
1641	-0.090422
1642	0.147558
1643	0.179824
1644	0.010403
1645	-0.137662
1646	0.019527
1647	-0.175259
1648	0.230152
1649	-0.157083
1650	-0.136836
1651	-0.049091
1652	-0.080658
1653	0.100621
1654	0.130649
1655	-0.004935
1656	0.205414
1657	0.211978
1658	0.211485
1659	0.055697
1660	0.038021
1661	-0.122722
1662	-0.222273
1663	-0.216163
1664	0.104792
1665	0.178914
1666	0.264137
1667	-0.016123
1668	-0.205690
1669	0.150823
1670	-0.163606
1671	0.255680
1672	-0.187208
1673	-0.230673
1674	0.267620
1675	0.197622
1676	0.110483
1677	0.006634
1678	-0.177815
1679	0.239834
1680	0.301083
1681	-0.174733
1682	-0.010953
1683	-0.009508
1684	0.138102
1685	-0.061289
1686	0.019359
1687	0.080663
1688	0.185971
1689	0.223396
1690	-0.052599
1691	0.012957
1692	-0.182430
1693	-0.058464
1694	-0.039954
1695	-0.050658
1696	0.193144
1697	0.198595
1698	0.040804
1699	-0.210740
1700	0.120659
1701	0.144169
1702	0.174779
1703	-0.150400
1704	-0.019536
1705	-0.176613
1706	0.042843
1707	0.218925
1708	0.032177
1709	0.073889
1710	-0.076189
1711	-0.139972
1712	-0.231139
1713	-0.177878
1714	0.085448
1715	-0.132911
1716	0.248132
1717	-0.209884
1718	-0.216623
1719	0.106795
1720	0.059575
1721	-0.112112
1722	0.178029
1723	0.029812
1724	0.109838
1725	-0.149597
1726	-0.110947
1727	0.163945
1728	0.137858
1729	0.011457
1730	0.182520
1731	0.019745
1732	0.149346
1733	-0.122358
1734	-0.209019
1735	0.018127
1736	0.043708
1737	0.052226
1738	0.166044
1739	0.008354
1740	0.161877
1741	0.174984
1742	-0.009830
1743	-0.200469
1744	-0.105968
1745	-0.159908
1746	-0.133629
1747	-0.173197
1748	0.006090
1749	0.172612
1750	0.038375
1751	-0.166732
1752	0.016830
1753	-0.102851
1754	0.059588
1755	-0.209068
1756	-0.027002
1757	-0.118406
1758	-0.171686
1759	0.066828
1760	-0.220868
1761	-0.137586
1762	0.084693
