k	samples	compression	size1	size2
24	10	100	3851	9220
24	10	200	6771	16228
24	10	500	13651	32740
24	10	1000	22536	54064
24	100	2	250	520
24	100	5	477	1036
24	100	10	802	1744
24	100	20	1385	3052
24	100	50	3109	6952
24	100	100	5469	12436
24	100	200	9979	23188
24	100	500	21888	52468
24	100	1000	38541	92476
24	1000	2	287	556
24	1000	5	635	1300
24	1000	10	1010	2104
24	1000	20	1839	3928
24	1000	50	4099	8920
24	1000	100	7787	17140
24	1000	200	13890	30880
24	1000	500	30981	69664
24	1000	1000	56396	128464
24	10000	2	340	652
24	10000	5	759	1516
24	10000	10	1242	2476
24	10000	20	2288	4672
24	10000	50	5266	10852
24	10000	100	9463	19972
24	10000	200	17367	37348
24	10000	500	39887	87256
24	10000	1000	74561	164104
25	10	2	195	412
25	10	5	350	772
25	10	10	627	1408
25	10	20	1051	2428
25	10	50	2131	5092
25	10	100	3856	9232
25	10	200	6791	16276
25	10	500	13876	33280
25	10	1000	22631	54292
25	100	2	256	532
25	100	5	477	1036
25	100	10	872	1924
25	100	20	1386	3052
25	100	50	3027	6772
25	100	100	5613	12772
25	100	200	9884	22972
25	100	500	21446	51424
25	100	1000	38581	92572
25	1000	2	372	736
25	1000	5	539	1108
25	1000	10	1032	2152
25	1000	20	1896	4084
25	1000	50	4176	9100
25	1000	100	7175	15736
25	1000	200	13776	30472
25	1000	500	31093	69820
25	1000	1000	56267	128092
25	10000	2	307	592
25	10000	5	617	1204
25	10000	10	1216	2476
25	10000	20	2134	4396
25	10000	50	5373	11164
25	10000	100	9705	20404
25	10000	200	17825	38284
25	10000	500	40156	87820
25	10000	1000	75078	165460
26	10	2	193	412
26	10	5	297	640
26	10	10	632	1408
26	10	20	982	2272
26	10	50	2116	5056
26	10	100	3861	9244
26	10	200	6656	15952
26	10	500	13716	32896
26	10	1000	22671	54388
26	100	2	227	472
26	100	5	485	1036
26	100	10	761	1660
26	100	20	1447	3196
26	100	50	3076	6868
26	100	100	5684	12928
26	100	200	10356	24184
26	100	500	21540	51628
26	100	1000	38416	92176
26	1000	2	299	592
26	1000	5	673	1396
26	1000	10	1069	2236
26	1000	20	1861	3988
26	1000	50	4105	8944
26	1000	100	7664	16852
26	1000	200	13830	30700
26	1000	500	31394	70468
26	1000	1000	56300	128176
26	10000	2	365	712
26	10000	5	665	1324
26	10000	10	1155	2308
26	10000	20	2243	4612
26	10000	50	5281	10996
26	10000	100	9392	19780
26	10000	200	17669	37852
26	10000	500	40027	87496
26	10000	1000	74866	164896
27	10	2	164	340
27	10	5	379	832
27	10	10	596	1336
27	10	20	1046	2428
27	10	50	2215	5284
27	10	100	3866	9256
27	10	200	6831	16372
27	10	500	13721	32908
27	10	1000	22466	53896
27	100	2	274	568
27	100	5	465	1000
27	100	10	769	1660
27	100	20	1372	3040
27	100	50	3319	7456
27	100	100	5577	12652
27	100	200	10272	23896
27	100	500	21391	51268
27	100	1000	38566	92536
27	1000	2	318	628
27	1000	5	594	1204
27	1000	10	996	2068
27	1000	20	1782	3808
27	1000	50	3917	8572
27	1000	100	7785	17128
27	1000	200	13746	30412
27	1000	500	31156	69964
27	1000	1000	56676	129100
27	10000	2	327	628
27	10000	5	645	1276
27	10000	10	1275	2572
27	10000	20	2282	4672
27	10000	50	5080	10516
27	10000	100	9738	20524
27	10000	200	17970	38656
27	10000	500	39833	87148
27	10000	1000	74371	163804
28	10	2	188	400
28	10	5	384	844
28	10	10	605	1360
28	10	20	1064	2464
28	10	50	2269	5416
28	10	100	3721	8908
28	10	200	6726	16120
28	10	500	13616	32656
28	10	1000	22416	53776
28	100	2	229	472
28	100	5	493	1072
28	100	10	767	1672
28	100	20	1543	3412
28	100	50	3122	7012
28	100	100	5587	12736
28	100	200	10076	23452
28	100	500	21444	51424
28	100	1000	38376	92080
28	1000	2	287	568
28	1000	5	645	1324
28	1000	10	941	1960
28	1000	20	1811	3880
28	1000	50	4032	8776
28	1000	100	7535	16564
28	1000	200	13950	30976
28	1000	500	30962	69652
28	1000	1000	56745	129244
28	10000	2	302	568
28	10000	5	768	1528
28	10000	10	1187	2368
28	10000	20	2179	4396
28	10000	50	5398	11212
28	10000	100	9598	20176
28	10000	200	17947	38632
28	10000	500	40222	87952
28	10000	1000	74674	164584
29	10	2	146	304
29	10	5	384	844
29	10	10	532	1192
29	10	20	998	2296
29	10	50	2201	5260
29	10	100	3741	8956
29	10	200	6986	16744
29	10	500	13781	33052
29	10	1000	22626	54280
29	100	2	206	424
29	100	5	443	964
29	100	10	737	1612
29	100	20	1403	3088
29	100	50	2986	6688
29	100	100	5657	12928
29	100	200	10145	23644
29	100	500	21880	52468
29	100	1000	38761	93004
29	1000	2	335	676
29	1000	5	503	1036
29	1000	10	1109	2332
29	1000	20	1816	3916
29	1000	50	4184	9100
29	1000	100	7535	16552
29	1000	200	13972	31012
29	1000	500	30831	69196
29	1000	1000	56624	128836
29	10000	2	333	628
29	10000	5	808	1588
29	10000	10	1224	2464
29	10000	20	2207	4504
29	10000	50	5334	11068
29	10000	100	9762	20548
29	10000	200	17725	38104
29	10000	500	39462	86392
29	10000	1000	74806	164632
30	10	2	191	400
30	10	5	342	760
30	10	10	636	1432
30	10	20	1056	2452
30	10	50	2162	5152
30	10	100	3821	9148
30	10	200	6766	16216
30	10	500	13691	32836
30	10	1000	22621	54268
30	100	2	280	580
30	100	5	520	1120
30	100	10	795	1720
30	100	20	1466	3232
30	100	50	3184	7144
30	100	100	5623	12808
30	100	200	10437	24304
30	100	500	21398	51304
30	100	1000	38231	91732
30	1000	2	293	568
30	1000	5	584	1192
30	1000	10	920	1912
30	1000	20	1919	4096
30	1000	50	4005	8764
30	1000	100	7566	16612
30	1000	200	13591	30196
30	1000	500	31427	70552
30	1000	1000	55852	127144
30	10000	2	332	640
30	10000	5	705	1396
30	10000	10	1338	2668
30	10000	20	2251	4576
30	10000	50	5299	11032
30	10000	100	9798	20668
30	10000	200	17621	37864
30	10000	500	40025	87448
30	10000	1000	74558	164236
31	10	2	173	364
31	10	5	364	796
31	10	10	604	1360
31	10	20	1072	2488
31	10	50	2183	5212
31	10	100	3731	8932
31	10	200	6756	16192
31	10	500	13666	32776
31	10	1000	22831	54772
31	100	2	234	484
31	100	5	561	1228
31	100	10	813	1768
31	100	20	1462	3220
31	100	50	3128	6976
31	100	100	5736	13072
31	100	200	10255	23812
31	100	500	21540	51640
31	100	1000	38616	92656
31	1000	2	286	556
31	1000	5	544	1108
31	1000	10	1028	2152
31	1000	20	1851	3988
31	1000	50	3964	8668
31	1000	100	7654	16816
31	1000	200	14065	31288
31	1000	500	31433	70564
