pass	compression	q	error	size
21	2	0.500	-0.001894111	400
21	5	0.001	-0.000014465	676
21	5	0.010	-0.000101638	676
21	5	0.100	-0.011368396	676
21	5	0.500	0.052064804	676
21	10	0.001	0.000187190	1276
21	10	0.010	-0.000029187	1276
21	10	0.100	-0.000788084	1276
21	10	0.500	0.003562283	1276
21	20	0.001	0.000001735	2236
21	20	0.010	-0.000564611	2236
21	20	0.100	0.000473341	2236
21	20	0.500	-0.004511686	2236
21	50	0.001	-0.000003549	5368
21	50	0.010	0.000069758	5368
21	50	0.100	-0.000989514	5368
21	50	0.500	0.000114020	5368
21	100	0.001	0.000002844	10240
21	100	0.010	0.000028211	10240
21	100	0.100	0.000045538	10240
21	100	0.500	0.000080596	10240
21	200	0.001	0.000005567	19096
21	200	0.010	-0.000036565	19096
21	200	0.100	0.000431163	19096
21	200	0.500	0.000090360	19096
21	500	0.001	0.000005567	43204
21	500	0.010	-0.000003713	43204
21	500	0.100	0.000124266	43204
21	500	0.500	0.000097522	43204
21	1000	0.001	0.000005567	91948
21	1000	0.010	0.000011390	91948
21	1000	0.100	0.000003555	91948
21	1000	0.500	0.000008041	91948
22	2	0.001	-0.000012344	424
22	2	0.010	-0.000265300	424
22	2	0.100	0.025269230	424
22	2	0.500	-0.024555789	424
22	5	0.001	-0.000004711	676
22	5	0.010	0.000314215	676
22	5	0.100	-0.002258264	676
22	5	0.500	-0.000807324	676
